(18.14, 44.95, '1')
(26.65, 41.50, '1')
(26.18, 39.38, '1')
(24.44, 40.18, '1')
(21.20, 36.21, '1')
(25.69, 37.25, '1')
(19.34, 38.38, '1')
(23.22, 40.88, '1')
(23.44, 37.30, '1')
(29.45, 37.20, '1')
(28.51, 35.71, '1')
(21.16, 41.31, '1')
(24.01, 37.29, '1')
(20.14, 44.05, '1')
(28.95, 43.60, '1')
(28.45, 35.71, '1')
(21.58, 37.38, '1')
(25.67, 41.69, '1')
(25.31, 37.14, '1')
(19.83, 36.32, '1')
(27.15, 44.36, '1')
(24.47, 40.71, '1')
(27.34, 39.73, '1')
(24.36, 42.85, '1')
(18.01, 43.07, '1')
(21.89, 36.90, '1')
(18.23, 35.97, '1')
(29.15, 39.31, '1')
(28.54, 39.24, '1')
(27.98, 39.67, '1')
(21.69, 42.29, '1')
(18.70, 41.73, '1')
(28.54, 44.84, '1')
(29.36, 35.98, '1')
(19.03, 39.03, '1')
(23.83, 38.39, '1')
(18.83, 43.62, '1')
(27.13, 37.49, '1')
(27.19, 36.90, '1')
(19.54, 39.49, '1')
(23.70, 39.22, '1')
(24.60, 37.79, '1')
(21.18, 37.50, '1')
(28.47, 44.23, '1')
(23.08, 39.43, '1')
(20.54, 43.61, '1')
(24.47, 40.50, '1')
(26.76, 35.51, '1')
(20.41, 44.99, '1')
(21.74, 43.36, '1')
